"key","config_id","sigma_ps","se_psi_obs","K","ex_violation","psi","mu_b","bf_true","true_zone","method","bias","rmse","sd","coverage","ci_width"
"cfg1_psi-0.23_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.15,0.394736842105263,"mixed","mc",0.0149574288419696,0.0906332239477142,0.0894352014637122,0.6,0.149995710962779
"cfg1_psi-0.23_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.15,0.394736842105263,"mixed","mcmc",0.0138493277428477,0.0864861022550426,0.0854127469508068,0.998,0.495152486753142
"cfg1_psi-0.23_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.1,0.303030303030303,"effect-dominated","mc",0.00835244242069043,0.081422915361174,0.0810339086177374,0.699,0.169923580163316
"cfg1_psi-0.23_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.1,0.303030303030303,"effect-dominated","mcmc",0.00767677640684948,0.0742845440559099,0.0739237804424838,1,0.53933111186735
"cfg1_psi-0.23_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.05,0.178571428571429,"effect-dominated","mc",0.00829981437577969,0.0848526185990301,0.0844879765565651,0.799,0.200930488426612
"cfg1_psi-0.23_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.05,0.178571428571429,"effect-dominated","mcmc",0.015801373646816,0.0720223842904333,0.0703027944868852,1,0.517780899630698
"cfg1_psi-0.18_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.4,0.689655172413793,"bias-dominated","mc",0.00944223757555058,0.0810640427165119,0.0805525411330662,0.432,0.0942567906869394
"cfg1_psi-0.18_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.4,0.689655172413793,"bias-dominated","mcmc",0.00717399928693813,0.0786956294838269,0.0784071649634419,0.958,0.313652596908162
"cfg1_psi-0.18_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.35,0.660377358490566,"bias-dominated","mc",0.0102594452298857,0.0815897517742265,0.080982649794401,0.472,0.102802988278319
"cfg1_psi-0.18_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.35,0.660377358490566,"bias-dominated","mcmc",0.00866658789041623,0.0786568035927035,0.0782170116193753,0.974,0.344190643061243
"cfg1_psi-0.18_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.3,0.625,"bias-dominated","mc",0.00556636876542031,0.0913958510116806,0.0912718339280265,0.478,0.115417600661762
"cfg1_psi-0.18_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.3,0.625,"bias-dominated","mcmc",0.00359637104515516,0.0873068188112749,0.0872763650144785,0.964,0.377330542632442
