"key","config_id","sigma_ps","K","ex_violation","psi","mu_b","bf_true","true_zone","Mean_BF_mc","ci_lo_mc","ci_hi_mc","Mean_BF_mcmc","ci_lo_mcmc","ci_hi_mcmc"
"cfg2_psi-0.1_mu-0.2_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.1,-0.2,0.666666666666667,"bias-dominated",0.668504168580654,0.586083485331973,0.747592279331378,0.658229966875512,0.387426957936257,0.873792454385423
"cfg2_psi-0.1_mu-0.3_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.1,-0.3,0.75,"bias-dominated",0.740914281683298,0.678520291257478,0.800068804202048,0.732842765809533,0.532941895295355,0.897924059505534
"cfg2_psi-0.1_mu-0.4_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.1,-0.4,0.8,"bias-dominated",0.790756635554908,0.740490160176282,0.83739059619078,0.783208173658658,0.620968580866773,0.917735075642767
"cfg2_psi-0.15_mu-0.05_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.15,-0.05,0.25,"effect-dominated",0.304777871729881,0.157751768517695,0.448083167364689,0.303225337023518,0.0269771418971568,0.703061666457476
"cfg2_psi-0.15_mu-0.1_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.15,-0.1,0.4,"mixed",0.436562680068815,0.32383505311692,0.544892538215345,0.429732782131395,0.0826183812998406,0.74540418194309
"cfg2_psi-0.15_mu-0.15_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.15,-0.15,0.5,"mixed",0.539441539374071,0.448126233534984,0.627246416930533,0.531113073325304,0.221178876611911,0.790900934837023
"cfg2_psi-0.15_mu-0.2_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.15,-0.2,0.571428571428572,"bias-dominated",0.592631344952461,0.514804423326574,0.666686727354734,0.586042976565531,0.328997024234886,0.807323127033339
"cfg2_psi-0.15_mu-0.3_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.15,-0.3,0.666666666666667,"bias-dominated",0.684309892908565,0.62326293066347,0.742895955709154,0.678903899667805,0.47982867025803,0.851007244138806
"cfg2_psi-0.15_mu-0.4_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.15,-0.4,0.727272727272727,"bias-dominated",0.739689750973352,0.691317701599415,0.786009427078224,0.734527791306739,0.574585617808834,0.876570102665256
"cfg2_psi-0.2_mu-0.05_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.2,-0.05,0.2,"effect-dominated",0.243563981952145,0.122743697828614,0.366906215213292,0.24660512522174,0.0182711625906194,0.614495214819645
"cfg2_psi-0.2_mu-0.1_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.2,-0.1,0.333333333333333,"mixed",0.361859607293079,0.263288852898395,0.459087870837718,0.360775316349966,0.0630290747363744,0.660194715468557
"cfg2_psi-0.2_mu-0.15_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.2,-0.15,0.428571428571428,"mixed",0.464109267534931,0.381861136800015,0.545413143783941,0.460314030291702,0.184327265755264,0.71242992588212
"cfg2_psi-0.2_mu-0.2_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.2,-0.2,0.5,"mixed",0.522645200494005,0.451286937612885,0.591344158337588,0.519076588750979,0.285097280265204,0.734235539402069
"cfg2_psi-0.2_mu-0.3_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.2,-0.3,0.6,"bias-dominated",0.622248926443802,0.565202178579962,0.677224444189174,0.618320246554667,0.431643014591602,0.790390640624415
"cfg2_psi-0.2_mu-0.4_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.2,-0.4,0.666666666666667,"bias-dominated",0.681924951805279,0.636338781335035,0.7265705779506,0.678771658290074,0.526039378958124,0.821949853651779
"cfg2_psi-0.3_mu-0.05_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.3,-0.05,0.142857142857143,"effect-dominated",0.159906766949899,0.0784054639285315,0.245385680210122,0.164590617439734,0.0107356298793738,0.445130053378675
"cfg2_psi-0.3_mu-0.1_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.3,-0.1,0.25,"effect-dominated",0.266111662697653,0.192860567788945,0.339317546069072,0.265056737040842,0.0460894319111147,0.504387745033051
"cfg2_psi-0.3_mu-0.15_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.3,-0.15,0.333333333333333,"mixed",0.355803928389798,0.291189287748538,0.419617482154313,0.354360273249194,0.138330891747031,0.565404074370963
"cfg2_psi-0.3_mu-0.2_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.3,-0.2,0.4,"mixed",0.412339361591287,0.355253506481524,0.468408353267547,0.411038715363731,0.222626617127801,0.597452786788707
"cfg2_psi-0.3_mu-0.3_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.3,-0.3,0.5,"mixed",0.514003810693279,0.467403595298134,0.560767912170408,0.512749188675074,0.355598957995968,0.667979505301171
"cfg2_psi-0.3_mu-0.4_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.3,-0.4,0.571428571428572,"bias-dominated",0.586416538191881,0.546817815009766,0.626184356442982,0.585145587955972,0.451129190109849,0.718064302473068
"cfg2_psi-0.4_mu-0.05_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.4,-0.05,0.111111111111111,"effect-dominated",0.11919488098579,0.058668906919952,0.182945323601652,0.124529264074241,0.00803305210138369,0.337077148801304
"cfg2_psi-0.4_mu-0.1_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.4,-0.1,0.2,"effect-dominated",0.208489263483571,0.15108242203453,0.266581721930521,0.208246620699103,0.0363488065214928,0.39841411311155
"cfg2_psi-0.4_mu-0.15_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.4,-0.15,0.272727272727273,"effect-dominated",0.286451020124037,0.235170118531832,0.33793871101908,0.286232427102458,0.111518726406373,0.460171099640907
"cfg2_psi-0.4_mu-0.2_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.4,-0.2,0.333333333333333,"mixed",0.33963576537533,0.293522668613385,0.385706904191013,0.338726507588834,0.1832667132718,0.494343208988595
