psi_f,mu_f,bf_hat_bin,n,med,q1,q3,loa_lo,loa_hi
-0.05,-0.1,"[0.7, 0.8)",690,0.0796765312721463,0.0563450047333605,0.105946400777991,0.0359697568883623,0.130968190974684
-0.05,-0.1,"[0.5, 0.6)",1108,-0.121593230578719,-0.144826976643857,-0.0950702349286773,-0.163889602458608,-0.0701541424448576
-0.05,-0.1,"[0.9, 1.0)",461,0.277797644041039,0.254883317573979,0.304042330959574,0.235163815820608,0.330151149737069
-0.05,-0.1,"[0.2, 0.3)",1128,-0.414477877518072,-0.437692550162569,-0.390911705251477,-0.463887710346278,-0.369255271896123
-0.05,-0.1,"[0.1, 0.2)",553,-0.501432606306066,-0.524759147249611,-0.482667080787309,-0.559005017497088,-0.468309215853146
-0.05,-0.15,"[0.7, 0.8)",1149,-0.00417538317426946,-0.0289198491869505,0.0243725976564712,-0.0476398408728949,0.0478737691610816
-0.05,-0.15,"[0.4, 0.5)",1244,-0.298916865265806,-0.323460568206684,-0.274008804564768,-0.347824104265435,-0.252465222903543
-0.05,-0.15,"[0.8, 0.9)",956,0.09622705482209,0.0733255064829512,0.122946192533994,0.0523245551422603,0.147838833747845
-0.05,-0.15,"[0.9, 1.0)",760,0.196612398877461,0.172080444813912,0.225550214978093,0.15240602380331,0.248449077350477
-0.05,-0.15,"[0.5, 0.6)",1422,-0.197278364067068,-0.224167398932682,-0.173793019119177,-0.247366338467444,-0.151975926230786
-0.05,-0.15,"[0.6, 0.7)",1343,-0.101335587802036,-0.127468499769908,-0.0753483140486995,-0.147852097959944,-0.0527440953930969
-0.05,-0.15,"[0.3, 0.4)",839,-0.391767372097997,-0.417429692445085,-0.369788798888274,-0.445547247950006,-0.352686824380386
-0.05,-0.2,"[0.9, 1.0)",996,0.146607673036375,0.12490902048987,0.171338930667315,0.102033267906575,0.197536151489544
-0.05,-0.2,"[0.8, 0.9)",1264,0.0479633099313035,0.0240187589025852,0.0738259959542616,0.00298565589390641,0.0978689977887104
-0.05,-0.2,"[0.6, 0.7)",1609,-0.149440160183521,-0.172789657878796,-0.123839812662867,-0.197543408194357,-0.102324620557177
-0.05,-0.2,"[0.4, 0.5)",956,-0.337712737278404,-0.364088741390594,-0.318457308539179,-0.395411158266455,-0.301630242737741
-0.05,-0.2,"[0.7, 0.8)",1442,-0.0524123865578677,-0.0772514279673344,-0.0261835124904031,-0.0977692701873714,-0.0030302458875584
-0.05,-0.2,"[0.5, 0.6)",1446,-0.248780986276345,-0.273140059990261,-0.22371206611961,-0.297383746996431,-0.203022379908182
