cond,n,bf_true,true_log_rr,bias_mu,n_nc,se_psi_obs,coverage_current,coverage_joint,half_cur,half_jnt
cfg10_psi-0.14_mu-0.1_sps0.1,200,0.416666666666667,-0.14,-0.1,50,0.1,53,97.5,0.141967957154975,0.344040662154752
cfg10_psi-0.14_mu-0.05_sps0.1,200,0.263157894736842,-0.14,-0.05,50,0.1,85,99.5,0.16850791502983,0.3837178651738
cfg10_psi-0.1_mu-0.4_sps0.1,200,0.8,-0.1,-0.4,50,0.1,43,96,0.0656305169924236,0.204675768486587
cfg10_psi-0.1_mu-0.35_sps0.1,200,0.777777777777778,-0.1,-0.35,50,0.1,36,99,0.0699162604191624,0.216969107231104
cfg10_psi-0.1_mu-0.3_sps0.1,200,0.75,-0.1,-0.3,50,0.1,38.5,98,0.0795904040936122,0.236148935025392
cfg10_psi-0.1_mu-0.25_sps0.1,200,0.714285714285714,-0.1,-0.25,50,0.1,42,98,0.0882691634904927,0.256438296610937
cfg10_psi-0.1_mu-0.2_sps0.1,200,0.666666666666667,-0.1,-0.2,50,0.1,40,97.5,0.100992464073179,0.280503302904669
cfg10_psi-0.1_mu-0.15_sps0.1,200,0.6,-0.1,-0.15,50,0.1,41.5,96.5,0.120227852179208,0.305590651537288
cfg10_psi-0.1_mu-0.1_sps0.1,200,0.5,-0.1,-0.1,50,0.1,47.5,97.5,0.143081591368652,0.34787924071195
cfg10_psi-0.1_mu-0.05_sps0.1,200,0.333333333333333,-0.1,-0.05,50,0.1,74.5,99.5,0.189765059422208,0.390402263955734
cfg10_psi-0.05_mu-0.4_sps0.1,200,0.888888888888889,-0.05,-0.4,50,0.1,46,95.5,0.0635710020082041,0.196033314571437
cfg10_psi-0.05_mu-0.35_sps0.1,200,0.875,-0.05,-0.35,50,0.1,44,96,0.0706824697964404,0.20851728110605
cfg10_psi-0.05_mu-0.3_sps0.1,200,0.857142857142857,-0.05,-0.3,50,0.1,46,95,0.080184509506111,0.227985798362806
cfg10_psi-0.05_mu-0.25_sps0.1,200,0.833333333333333,-0.05,-0.25,50,0.1,46.5,97.5,0.091038553123797,0.252301082444234
cfg10_psi-0.05_mu-0.2_sps0.1,200,0.8,-0.05,-0.2,50,0.1,44,97.5,0.102500197288899,0.276710542687343
cfg10_psi-0.05_mu-0.15_sps0.1,200,0.75,-0.05,-0.15,50,0.1,50,97,0.129580673874777,0.307492881155498
cfg10_psi-0.05_mu-0.1_sps0.1,200,0.666666666666667,-0.05,-0.1,50,0.1,50.5,98.5,0.157908170928508,0.347213864207784
cfg10_psi-0.05_mu-0.05_sps0.1,200,0.5,-0.05,-0.05,50,0.1,55,98.5,0.229671447228858,0.404845101199337
cfg10_psi-0.01_mu-0.4_sps0.1,200,0.975609756097561,-0.01,-0.4,50,0.1,35,87,0.0627087379549089,0.195145460659283
cfg10_psi-0.01_mu-0.35_sps0.1,200,0.972222222222222,-0.01,-0.35,50,0.1,32,84,0.0661056486461649,0.212459884277827
cfg10_psi-0.01_mu-0.3_sps0.1,200,0.967741935483871,-0.01,-0.3,50,0.1,36,84.5,0.0737989752234025,0.227649950665055
cfg10_psi-0.01_mu-0.25_sps0.1,200,0.961538461538461,-0.01,-0.25,50,0.1,43.5,86.5,0.0801952261133001,0.245472744846293
cfg10_psi-0.01_mu-0.2_sps0.1,200,0.952380952380952,-0.01,-0.2,50,0.1,41,87.5,0.101195073305467,0.273978913565289
cfg10_psi-0.01_mu-0.15_sps0.1,200,0.9375,-0.01,-0.15,50,0.1,37.5,84.5,0.124843881264138,0.306304378413586
cfg10_psi-0.01_mu-0.1_sps0.1,200,0.909090909090909,-0.01,-0.1,50,0.1,30,84.5,0.140373182902184,0.345151713373993
cfg10_psi-0.01_mu-0.05_sps0.1,200,0.833333333333333,-0.01,-0.05,50,0.1,38,88.5,0.22938226537432,0.403971835694519
