"score","x_bd","y_bd","x_ed","y_ed"
"Calibrated P alone",0.539019736842105,0.888329365079365,0.228229487179487,0.4915
"Calibrated P alone",0.534291666666667,0.886238095238095,0.231147435897436,0.496688888888889
"Calibrated P alone",0.529552631578947,0.884154761904762,0.234101282051282,0.501727777777778
"Calibrated P alone",0.524793859649123,0.882089285714286,0.237035897435897,0.50685
"Calibrated P alone",0.520118421052632,0.879950396825397,0.240014102564103,0.511777777777778
"Calibrated P alone",0.515482456140351,0.87777380952381,0.243007692307692,0.516644444444444
"Calibrated P alone",0.510991228070175,0.87546626984127,0.246034615384615,0.521366666666667
"Calibrated P alone",0.506429824561404,0.873224206349206,0.248973076923077,0.526466666666667
"Calibrated P alone",0.501760964912281,0.871077380952381,0.251933333333333,0.531477777777778
"Calibrated P alone",0.49716447368421,0.868865079365079,0.254914102564103,0.5364
"Calibrated P alone",0.492526315789474,0.866690476190476,0.257879487179487,0.541388888888889
"Calibrated P alone",0.487956140350877,0.864456349206349,0.260821794871795,0.546472222222222
"Calibrated P alone",0.483524122807018,0.862095238095238,0.263802564102564,0.551394444444444
"Calibrated P alone",0.47909649122807,0.859730158730159,0.266811538461538,0.556194444444444
"Calibrated P alone",0.474497807017544,0.857521825396825,0.269734615384615,0.561361111111111
"Calibrated P alone",0.470072368421053,0.855154761904762,0.272648717948718,0.566572222222222
"Calibrated P alone",0.465550438596491,0.852875,0.275689743589744,0.571233333333333
"Calibrated P alone",0.461171052631579,0.850468253968254,0.278679487179487,0.576111111111111
"Calibrated P alone",0.456809210526316,0.848043650793651,0.281792307692308,0.580461111111111
"Calibrated P alone",0.452434210526316,0.845630952380952,0.284848717948718,0.585055555555556
"Calibrated P alone",0.448065789473684,0.843214285714286,0.287915384615385,0.5896
"Calibrated P alone",0.44375,0.840748015873016,0.290944871794872,0.594311111111111
"Calibrated P alone",0.439383771929825,0.838327380952381,0.294048717948718,0.5987
"Calibrated P alone",0.435146929824561,0.835789682539683,0.297085897435897,0.603377777777778
"Calibrated P alone",0.430918859649123,0.833246031746032,0.300166666666667,0.607861111111111
"Calibrated P alone",0.426627192982456,0.830757936507937,0.30324358974359,0.612366666666667
"Calibrated P alone",0.422515350877193,0.828107142857143,0.306334615384615,0.616811111111111
"Calibrated P alone",0.41825,0.825597222222222,0.309389743589744,0.621405555555556
"Calibrated P alone",0.41418201754386,0.822906746031746,0.312541025641026,0.625588888888889
"Calibrated P alone",0.409868421052632,0.820438492063492,0.315570512820513,0.6303
"Calibrated P alone",0.40568201754386,0.817857142857143,0.318641025641026,0.634827777777778
"Calibrated P alone",0.401506578947368,0.815263888888889,0.321684615384615,0.639477777777778
"Calibrated P alone",0.397447368421053,0.812565476190476,0.324794871794872,0.643838888888889
"Calibrated P alone",0.393309210526316,0.809938492063492,0.327902564102564,0.648211111111111
"Calibrated P alone",0.389230263157895,0.807259920634921,0.331020512820513,0.652533333333333
"Calibrated P alone",0.385217105263158,0.804519841269841,0.334121794871795,0.656933333333333
"Calibrated P alone",0.381258771929825,0.801730158730159,0.337232051282051,0.661294444444444
"Calibrated P alone",0.377379385964912,0.798871031746032,0.340367948717949,0.665538888888889
"Calibrated P alone",0.37340350877193,0.796097222222222,0.343488461538462,0.669855555555556
"Calibrated P alone",0.369469298245614,0.793285714285714,0.346675641025641,0.673883333333333
"Calibrated P alone",0.365519736842105,0.790490079365079,0.349801282051282,0.678172222222222
"Calibrated P alone",0.361541666666667,0.787718253968254,0.352908974358974,0.682544444444444
"Calibrated P alone",0.357662280701754,0.784857142857143,0.356130769230769,0.686422222222222
"Calibrated P alone",0.353804824561403,0.78197619047619,0.3593,0.690527777777778
"Calibrated P alone",0.349896929824561,0.779142857142857,0.362480769230769,0.694577777777778
"Calibrated P alone",0.34603947368421,0.776261904761905,0.365653846153846,0.698666666666667
"Calibrated P alone",0.342293859649123,0.773279761904762,0.368884615384615,0.702505555555556
"Calibrated P alone",0.338548245614035,0.770299603174603,0.37205,0.706622222222222
"Calibrated P alone",0.33472149122807,0.767390873015873,0.375265384615385,0.710527777777778
"Calibrated P alone",0.331015350877193,0.764373015873016,0.378453846153846,0.71455
"Calibrated P alone",0.327291666666667,0.761373015873016,0.381632051282051,0.718611111111111
"Calibrated P alone",0.323611842105263,0.758331349206349,0.384874358974359,0.7224
"Calibrated P alone",0.319918859649123,0.755301587301587,0.388084615384615,0.726327777777778
"Calibrated P alone",0.316265350877193,0.752236111111111,0.391276923076923,0.730333333333333
