"rep_id","mu_b","sigma_b","obs_log_rr","bsr_est","bf_est","pt_class"
111,-0.150677097331766,0.063703999431198,-0.469412056349583,0.472734769339637,0.32099111067474,"effect-dominated"
112,-0.16375662739938,0.043558290114385,-0.636320694777312,0.346527886277938,0.25734920888702,"effect-dominated"
113,-0.132614329536939,0.0487160640548008,-0.422319747588012,0.457755779747134,0.314014038638583,"effect-dominated"
114,-0.142862044895233,0.0400493172840387,-0.565998836605,0.337626147605769,0.252406958558705,"effect-dominated"
115,-0.168983076381813,0.0533556573964972,-0.506114659735112,0.501237750260633,0.333882991001,"competitive"
116,-0.152106739259013,0.0740220524560184,-0.539340012830904,0.392803897908774,0.282023835874203,"effect-dominated"
117,-0.121177282262956,0.110983101056313,-0.444968557366225,0.374245050995609,0.272327741493031,"effect-dominated"
118,-0.160218006828152,2.27417529088799e-05,-0.436367217794711,0.580186364709745,0.367163252175205,"competitive"
119,-0.166665088168709,4.40794113391493e-05,-0.379977444887591,0.781319426273802,0.438618371724706,"competitive"
120,-0.176853879331869,0.0389918349665632,-0.514817580775857,0.523292526908187,0.343527272447341,"competitive"
121,-0.15422384955241,0.0223292737069496,-0.481625033311825,0.471054648555388,0.320215601111743,"effect-dominated"
122,-0.194014257540418,0.040791584279012,-0.455054639592665,0.743234652106764,0.426353762075884,"competitive"
123,-0.139764317379719,3.16890186749703e-05,-0.573897744609448,0.321938622122643,0.243535226776039,"effect-dominated"
124,-0.136101354353986,0.0483688630116346,-0.548476073021512,0.330042915321676,0.248144560990992,"effect-dominated"
125,-0.136186676371428,0.0945884779197558,-0.438600924874131,0.450331547027653,0.310502483346359,"effect-dominated"
126,-0.160191859447161,0.0574783850539558,-0.447258593910603,0.558030033492304,0.35816384889673,"competitive"
127,-0.137164076183906,0.0669376245448912,-0.510220997634588,0.367675998747123,0.268832676075282,"effect-dominated"
128,-0.140186775017812,0.0806616110729724,-0.500527716829571,0.389039264628011,0.280077946343869,"effect-dominated"
129,-0.132304495462083,0.0811944838799467,-0.499671590487757,0.360142476703953,0.264782905373773,"effect-dominated"
130,-0.122860468285307,0.0123678035400787,-0.555825673267867,0.28376522379034,0.221041369973022,"effect-dominated"
131,-0.170772513406952,0.0295782796013196,-0.481729451549414,0.549183801548477,0.35449880188493,"competitive"
132,-0.178614714466183,0.0577589096095224,-0.408536664960001,0.776849335535648,0.437206081573292,"competitive"
133,-0.150604632159369,5.95653159132525e-05,-0.490734989507871,0.442785034930173,0.306896054651414,"effect-dominated"
134,-0.139799915225875,0.0623483117624739,-0.457558169014018,0.439956833722667,0.305534737861039,"effect-dominated"
135,-0.142655692463341,0.0155189206539818,-0.528176302946682,0.370033893348759,0.270091050407731,"effect-dominated"
136,-0.158792674217498,0.000127099380349345,-0.354414701873266,0.811732073940681,0.448042006661112,"competitive"
137,-0.154771894821611,0.0209675747478156,-0.478975690174306,0.477390755568538,0.323131002254597,"effect-dominated"
138,-0.127589628100288,0.0638876507799323,-0.546440209129356,0.304618481814719,0.23349238575173,"effect-dominated"
139,-0.182327201634567,0.0528992699043315,-0.580130900533433,0.458334606086508,0.31428631273893,"effect-dominated"
140,-0.157496754156531,0.0874837608979899,-0.463280819305943,0.51505873623459,0.339959583028891,"competitive"
141,-0.123431831613909,0.0749351401736114,-0.467145174355234,0.359112714768256,0.264225851812069,"effect-dominated"
142,-0.150986327722078,0.0279938863461638,-0.471928423326059,0.470447254474168,0.319934804218734,"effect-dominated"
143,-0.153794315827044,0.0458389165726452,-0.520592773536765,0.419288338307994,0.295421534152707,"effect-dominated"
144,-0.126317336222539,8.06169553081552e-05,-0.559139284983065,0.291845957868529,0.225913899479205,"effect-dominated"
145,-0.175915002075223,0.037444531731877,-0.615070912775121,0.400575280416607,0.286007675572751,"effect-dominated"
146,-0.165496986318532,0.0763628152323364,-0.481754336235633,0.523298466776858,0.343529832262028,"competitive"
147,-0.121771809782643,0.0686352748401578,-0.491866227210715,0.329029037046497,0.247570991960942,"effect-dominated"
148,-0.166193732310299,0.0664506911166814,-0.479491644723834,0.530465495381062,0.346604021444459,"competitive"
149,-0.130826391234852,0.045154818089895,-0.465823292419701,0.390530153479427,0.280849827313871,"effect-dominated"
150,-0.174509646688444,0.0305265097638615,-0.368966826784044,0.897419404121002,0.47296839179145,"competitive"
151,-0.124528807760373,0.0729907446592429,-0.414627555073741,0.429263514281415,0.300338957786405,"effect-dominated"
152,-0.0938690797040064,0.0421878640620353,-0.499720206402894,0.231289439720222,0.187843274098717,"effect-dominated"
153,-0.183470580981436,0.0135039624953966,-0.552626951098134,0.49699963439189,0.331997164844854,"effect-dominated"
154,-0.159372344316827,0.0697551840533034,-0.419826603247283,0.611901471572327,0.379614686358868,"competitive"
155,-0.139771458083994,0.0752167139885058,-0.430346544120461,0.481016662476195,0.324788150372296,"effect-dominated"
156,-0.158757982307586,0.0783670563035883,-0.524233144162203,0.43438788425994,0.302838506255272,"effect-dominated"
157,-0.17053383316463,0.0493486859615378,-0.57237671086912,0.42437938464605,0.29793985311821,"effect-dominated"
158,-0.134352460241589,0.045625372697818,-0.509793811357336,0.357852058230445,0.263542744632135,"effect-dominated"
159,-0.166892471211039,0.045035849169409,-0.447589262654974,0.594564940883458,0.372869693569234,"competitive"
160,-0.1429486944443,0.0683346596782745,-0.607972888141819,0.307400553308164,0.235123468879019,"effect-dominated"
161,-0.174827059520454,0.000120664656329317,-0.458363328777606,0.61659504788749,0.381415895522651,"competitive"
162,-0.157801254925842,0.085785525066965,-0.533536082954209,0.419980377528188,0.295764916314733,"effect-dominated"
163,-0.123491440818106,0.0770384389802825,-0.465366667687115,0.361217868720925,0.265363743028399,"effect-dominated"
164,-0.182812670554437,0.0387644152720598,-0.544820222534401,0.504996842067415,0.335546778539216,"competitive"
165,-0.1282087644547,0.0503346698894916,-0.615723702146052,0.262984279131709,0.208224507206462,"effect-dominated"
166,-0.11299918637774,0.0533579920613486,-0.516232724773835,0.280232608694223,0.218891947284523,"effect-dominated"
167,-0.135473328926838,0.0958699467755025,-0.530048641328586,0.343339597457891,0.255586597839906,"effect-dominated"
168,-0.193180447886433,0.0447189851654499,-0.446327844358547,0.763114496054923,0.432821860271944,"competitive"
169,-0.180603274952148,0.0416672607346312,-0.367185193319636,0.967957005332297,0.491858817397717,"competitive"
170,-0.198303249867248,2.83691781345332e-05,-0.47191221994568,0.724768818107109,0.420212152781452,"competitive"
171,-0.173424795395934,0.0533764481988697,-0.474488658749285,0.576039892215128,0.365498294212275,"competitive"
